LINE_ID,ID,DIST,DIST_SURF,X,Y,Z
"426","1",0.0000000000,0.0000000000,202581.5460400000,8065612.6234999998,0.5808333159
"426","2",21.6320592600,21.6328035190,202603.1471600000,8065613.7801000001,0.4013890028
"426","3",43.2641185210,43.2783657190,202624.7482800000,8065614.9367000004,-0.3630553186
"426","4",64.8961777810,64.9311413320,202646.3494000000,8065616.0932999998,-1.3099998236
"426","5",86.5282370410,86.6022277850,202667.9505100000,8065617.2499000002,-2.6099998951
"426","6",108.1602963000,109.1427400700,202689.5516300000,8065618.4063999997,-8.9447221756
"426","7",129.7923555600,133.9723237700,202711.1527500000,8065619.5630000001,-21.1333332060
"426","8",151.4244148200,157.1269537200,202732.7538700000,8065620.7196000004,-29.3911113740
"426","9",173.0564740800,178.8168604200,202754.3549800000,8065621.8761999998,-30.9741668700
"426","10",194.6885333400,201.0785188200,202775.9561000000,8065623.0328000002,-25.7172241210
"426","11",216.3205926000,225.3059419000,202797.5572200000,8065624.1893999996,-14.8075017930
"426","12",237.9526518600,249.0765047100,202819.1583400000,8065625.3459999999,-4.9538898468
"426","13",259.5847111200,270.9758147000,202840.7594500000,8065626.5026000002,-1.5430556536
"426","14",281.2167703800,292.6340197800,202862.3605700000,8065627.6591999996,-0.4791666865
"426","15",302.8488296400,314.2834331500,202883.9616900000,8065628.8158000000,0.3875000775
"425","16",0.0000000000,0.0000000000,204674.7835700000,8065937.9473999999,-0.9636114836
"425","17",21.9162233280,23.5828559370,204696.3846900000,8065934.2443000004,-9.6716680527
"425","18",43.8324466560,46.1162786760,204717.9858100000,8065930.5412999997,-14.9094438550
"427","19",0.0000000000,0.0000000000,199741.8405200000,8065012.7358999997,0.7991666794
"427","20",25.5211126470,25.5266615720,199763.4416300000,8065026.3271000003,0.2669446766
"427","21",51.0422252940,51.0553378970,199785.0427500000,8065039.9182000002,-0.3544442654
"427","22",76.5633379400,76.5944789270,199806.6438700000,8065053.5093000000,-1.3138887882
"427","23",102.0844505900,102.1425110800,199828.2449900000,8065067.1004999997,-2.4863886833
"427","24",127.6055632300,127.6929133400,199849.8461000000,8065080.6915999996,-3.7094442844
"427","25",153.1266758800,153.8422670000,199871.4472200000,8065094.2827000003,-9.4069442749
"427","26",178.6477885300,182.1866495400,199893.0483400000,8065107.8739000000,-21.7388877870
"427","27",204.1689011700,209.5649959300,199914.6494600000,8065121.4649999999,-31.6508331300
"427","28",229.6900138200,236.0517478500,199936.2505700000,8065135.0560999997,-38.7374992370
"427","29",255.2111264700,262.0858116200,199957.8516900000,8065148.6473000003,-43.8799972530
"427","30",280.7322391100,288.0878932900,199979.4528100000,8065162.2384000001,-48.8580551150
"427","31",306.2533517600,313.6544783800,200001.0539300000,8065175.8295000000,-50.3822212220
"427","32",331.7744644100,339.3390135400,200022.6550400000,8065189.4206999997,-47.4894447330
"427","33",357.2955770600,368.2008837000,200044.2561600000,8065203.0118000004,-34.0105590820
"427","34",382.8166897000,399.2090735300,200065.8572800000,8065216.6029000003,-16.3986129760
"427","35",408.3378023500,426.1678515900,200087.4584000000,8065230.1941000000,-7.7125020027
"427","36",433.8589150000,452.6422302200,200109.0595100000,8065243.7851999998,-0.6722226739
"427","37",459.3800276400,478.1863372500,200130.6606300000,8065257.3762999997,0.4113887250
"427","38",484.9011402900,503.7085809700,200152.2617500000,8065270.9675000003,0.6516666412
"428","39",0.0000000000,0.0000000000,195794.5339200000,8063984.7582000000,-0.0608333088
"428","40",21.6940231220,21.6943816420,195816.1350400000,8063986.7637000000,0.0638888925
"428","41",43.3880462440,43.3884573760,195837.7361500000,8063988.7692999998,0.1116667390
"428","42",65.0820693660,65.0945175170,195859.3372700000,8063990.7748999996,-0.6111109853
"428","43",86.7760924880,86.8130442250,195880.9383900000,8063992.7805000003,-1.6424999237
"428","44",108.4701156100,108.5357163400,195902.5395100000,8063994.7861000001,-2.7577776909
"428","45",130.1641387300,130.2668166000,195924.1406200000,8063996.7916999999,-4.0266666412
"428","46",151.8581618500,152.1860296500,195945.7417400000,8063998.7971999999,-7.1605558395
"428","47",173.5521849800,175.1464531200,195967.3428600000,8064000.8027999997,-14.6805562970
"428","48",195.2462081000,198.1535715100,195988.9439800000,8064002.8084000004,-22.3419437410
"428","49",216.9402312200,220.5191300000,196010.5450900000,8064004.8140000002,-27.7813892360
"428","50",238.6342543400,243.6787209000,196032.1462100000,8064006.8196000000,-35.8891639710
"428","51",260.3282774600,269.4227185400,196053.7473300000,8064008.8251999998,-49.7500000000
"428","52",282.0223005900,296.5274434500,196075.3484500000,8064010.8306999998,-65.9991683960
"428","53",303.7163237100,319.3245579400,196096.9495600000,8064012.8362999996,-73.0047225950
"428","54",325.4103468300,341.0260826300,196118.5506800000,8064014.8419000003,-72.4341659550
"428","55",347.1043699500,362.8376797600,196140.1518000000,8064016.8475000001,-70.1725006100
"428","56",368.7983930700,384.6037217600,196161.7529200000,8064018.8530999999,-68.4033355710
"428","57",390.4924162000,406.4011660500,196183.3540300000,8064020.8586999997,-66.2825012210
"428","58",412.1864393200,428.5808088800,196204.9551500000,8064022.8641999997,-61.6666679380
"428","59",433.8804624400,451.6994313500,196226.5562700000,8064024.8698000005,-53.6766700740
"428","60",455.5744855600,477.2446520200,196248.1573900000,8064026.8754000003,-40.1886138920
"428","61",477.2685086800,511.5550127300,196269.7585000000,8064028.8810000001,-13.6072254180
"428","62",498.9625318100,534.6950215300,196291.3596200000,8064030.8865999999,-5.5555567741
"428","63",520.6565549300,556.5472482200,196312.9607400000,8064032.8921999997,-2.9308335781
"428","64",542.3505780500,578.2534475100,196334.5618600000,8064034.8976999996,-2.2038888931
"428","65",564.0446011700,599.9636305000,196356.1629700000,8064036.9033000004,-1.3663890362
"428","66",585.7386242900,621.6858480600,196377.7640900000,8064038.9089000002,-0.2600000799
"428","67",607.4326474200,643.3914320200,196399.3652100000,8064040.9145000000,0.4483333230
"428","68",629.1266705400,665.0854553600,196420.9663300000,8064042.9200999998,0.4513889551
"428","69",650.8206936600,686.7807663500,196442.5674400000,8064044.9256999996,0.2150000483
"429","70",0.0000000000,0.0000000000,192483.9590200000,8064414.2494999999,0.2499999404
"429","71",21.6011549270,21.6123325700,192505.5601300000,8064414.2093000002,-0.4450000227
"429","72",43.2023098540,43.2335817150,192527.1612500000,8064414.1690999996,-1.3769444227
"429","73",64.8034647820,64.9024903150,192548.7623700000,8064414.1288000001,-3.0891668797
"429","74",86.4046197090,87.1826003080,192570.3634900000,8064414.0886000004,-8.5475006104
"429","75",108.0057746400,109.6076698400,192591.9646000000,8064414.0482999999,-14.5702781680
"429","76",129.6069295600,131.2698192200,192613.5657200000,8064414.0081000002,-16.1947231290
"429","77",151.2080844900,153.0881191600,192635.1668400000,8064413.9678999996,-13.1241664890
"429","78",172.8092394200,176.1168257100,192656.7679600000,8064413.9276000001,-5.1422224045
"429","79",194.4103943400,198.2260444400,192678.3690700000,8064413.8874000004,-0.4297221899
"429","80",216.0115492700,219.8458709200,192699.9701900000,8064413.8471999997,0.4686111808
"429","81",237.6127042000,241.4470603500,192721.5713100000,8064413.8069000002,0.4300000072
"430","82",0.0000000000,0.0000000000,191135.4319500000,8058127.5623000003,-5.6449999809
"430","83",26.5939277300,27.3274699300,191150.9441600000,8058105.9611999998,-11.9341669080
"430","84",53.1878554600,54.8218672430,191166.4563800000,8058084.3601000002,-4.9552779198
"431","85",0.0000000000,0.0000000000,193369.6864000000,8055954.2791999998,-1.1938886642
"431","86",25.5594023090,25.5594701480,193383.3493000000,8055932.6781000001,-1.1350002289
"432","87",0.0000000000,0.0000000000,194304.6155000000,8054813.6228000000,0.3380556107
"432","88",25.1316736590,25.1365644320,194317.4604500000,8054792.0217000004,-0.1577776074
"432","89",50.2633473170,50.4542129540,194330.3054000000,8054770.4205000000,-3.2208325863
"432","90",75.3950209760,81.1931317860,194343.1503500000,8054748.8194000004,-20.9205532070
"432","91",100.5266946300,108.0326245800,194355.9953000000,8054727.2182999998,-30.3416652680
"432","92",125.6583682900,134.1054386900,194368.8402500000,8054705.6172000002,-37.2836112980
"432","93",150.7900419500,159.7965576200,194381.6852000000,8054684.0160999997,-31.9513912200
"432","94",175.9217156100,188.1827335300,194394.5301500000,8054662.4150000000,-18.7538928990
"432","95",201.0533892700,216.5980234800,194407.3751000000,8054640.8137999997,-5.4938898087
"432","96",226.1850629300,241.7924974300,194420.2200500000,8054619.2127000000,-3.7161111832
"432","97",251.3167365900,266.9613487400,194433.0650000000,8054597.6116000004,-2.3486113548
"421","98",0.0000000000,0.0000000000,197912.0566500000,8051973.7461999999,-4.4538893700
"421","99",23.1422516990,23.2088278780,197933.6577700000,8051965.4423000002,-6.2105560303
"421","100",46.2845033980,46.3768133290,197955.2588900000,8051957.1382999998,-7.3022227287
"421","101",69.4267550970,69.5200585640,197976.8600100000,8051948.8344000001,-7.0877785683
"421","102",92.5690067960,92.6945480220,197998.4611200000,8051940.5305000003,-8.3097229004
"421","103",115.7112585000,115.8424984700,198020.0622400000,8051932.2264999999,-8.8233337402
"421","104",138.8535101900,138.9912125200,198041.6633600000,8051923.9226000002,-8.2763891220
"421","105",161.9957618900,162.1338467100,198063.2644800000,8051915.6185999997,-8.1433334351
"421","106",185.1380135900,185.3226858800,198084.8655900000,8051907.3147000000,-9.6124992371
"421","107",208.2802652900,208.5019537900,198106.4667100000,8051899.0107000005,-10.9219446180
"421","108",231.4225169900,231.6482986500,198128.0678300000,8051890.7067999998,-11.3572225570
"421","109",254.5647686900,255.1801265500,198149.6689400000,8051882.4028000003,-7.0930566788
"421","110",277.7070203900,278.3686846400,198171.2700600000,8051874.0988999996,-5.6283340454
"421","111",300.8492720900,301.5707543800,198192.8711800000,8051865.7949000001,-3.9633336067
"421","112",323.9915237900,324.7445881100,198214.4723000000,8051857.4910000004,-2.7538890839
"421","113",347.1337754900,347.9155749800,198236.0734100000,8051849.1869999999,-1.6002779007
"423","114",0.0000000000,0.0000000000,205053.6300400000,8056348.7314999998,-1.1761112213
"423","115",27.2144160480,27.2312354390,205070.1834800000,8056370.3327000001,-2.1330556870
"423","116",54.4288320960,54.5029161980,205086.7369100000,8056391.9337999998,-3.8994448185
"423","117",81.6432481440,81.9363651680,205103.2903400000,8056413.5349000003,-7.3591675758
"423","118",108.8576641900,109.7855219400,205119.8437800000,8056435.1359999999,-13.2711124420
"423","119",136.0720802400,137.9439546800,205136.3972100000,8056456.7370999996,-20.5011119840
"423","120",163.2864962900,165.6269143100,205152.9506400000,8056478.3382999999,-15.4294443130
"423","121",190.5009123400,194.3467778100,205169.5040800000,8056499.9393999996,-6.2530550957
"423","122",217.7153283900,221.6049672200,205186.0575100000,8056521.5405000001,-4.7088890076
"423","123",244.9297444300,248.8236258000,205202.6109400000,8056543.1415999997,-4.2283329964
"423","124",272.1441604800,276.0591012800,205219.1643800000,8056564.7427000003,-3.1574997902
"423","125",299.3585765300,303.2870059800,205235.7178100000,8056586.3437999999,-2.3005554676
"423","126",326.5729925800,330.5034362300,205252.2712500000,8056607.9450000003,-1.9694443941
"423","127",353.7874086300,357.7184530700,205268.8246800000,8056629.5460999999,-1.7886110544
"424","128",0.0000000000,0.0000000000,206567.5215800000,8060390.0313999997,0.1105555296
"424","129",21.6024054460,21.6094058490,206567.2856800000,8060368.4302000003,-0.4394445717
"424","130",43.2048108920,43.4047841870,206567.0497900000,8060346.8290999997,-3.3333339691
"424","131",64.8072163380,66.8004935670,206566.8138900000,8060325.2280000001,-12.3163900380
"424","132",86.4096217840,91.5522756300,206566.5780000000,8060303.6268999996,-24.3988895420
"424","133",108.0120272300,114.1314223200,206566.3421100000,8060282.0257999999,-30.9680557250
"424","134",129.6144326800,136.8833775300,206566.1062100000,8060260.4247000003,-38.1086120610
"424","135",151.2168381200,159.3633435500,206565.8703200000,8060238.8234999999,-44.3283348080
"424","136",172.8192435700,181.1922833900,206565.6344300000,8060217.2224000003,-41.1916656490
"424","137",194.4216490100,203.8990627100,206565.3985300000,8060195.6212999998,-34.1963882450
"424","138",216.0240544600,226.7546463700,206565.1626400000,8060174.0202000001,-26.7322216030
"424","139",237.6264599100,251.1225723600,206564.9267500000,8060152.4190999996,-15.4569435120
"424","140",259.2288653500,275.2825861900,206564.6908500000,8060130.8180000000,-4.6383323669
"424","141",280.8312708000,297.2075853800,206564.4549600000,8060109.2167999996,-0.8911109567
"424","142",302.4336762400,318.8244007000,206564.2190600000,8060087.6157000000,-0.1019444093
"422","143",0.0000000000,0.0000000000,204098.7931700000,8054379.6414000001,0.2458332479
"422","144",21.9029084560,21.9101016980,204102.4165800000,8054401.2424999997,-0.3155557215
"422","145",43.8058169120,43.9625926380,204106.0399900000,8054422.8436000003,-2.8797237873
"422","146",65.7087253670,68.2468491450,204109.6634100000,8054444.4446999999,-13.3672266010
"422","147",87.6116338230,95.4706331200,204113.2868200000,8054466.0458000004,-29.5350036620
"422","148",109.5145422800,121.1723859700,204116.9102300000,8054487.6469000001,-42.9827804570
"422","149",131.4174507300,143.6973883800,204120.5336500000,8054509.2481000004,-48.2399978640
"422","150",153.3203591900,167.0045304900,204124.1570600000,8054530.8492000001,-40.2722206120
"422","151",175.2232676500,203.3407201000,204127.7804700000,8054552.4502999997,-11.2794408800
"422","152",197.1261761000,226.4743618400,204131.4038900000,8054574.0514000002,-3.8344438076
"422","153",219.0290845600,248.3979472200,204135.0273000000,8054595.6524999999,-2.8824999332
"422","154",240.9319930100,270.3010776600,204138.6507100000,8054617.2537000002,-2.7838888168
"422","155",262.8349014700,292.2119161600,204142.2741300000,8054638.8547999999,-2.1944441795
"422","156",284.7378099300,314.1204487600,204145.8975400000,8054660.4559000004,-1.6980553865
"422","157",306.6407183800,336.0630132000,204149.5209500000,8054682.0570000000,-0.3794442415
