LINE_ID,ID,DIST,DIST_SURF,X,Y,Z,layer,path
"415","27",0.0057318797,47.33305934,-149.5840783,-17.534457413,1.0666666031,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"415","28",0.0059523367,48.23111492,-149.5838783,-17.53436467,1.9647221565,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"416","29",0,0,-149.5537534,-17.519917306,0.3199999929,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"416","30",0.0002158818,0.0263897666,-149.5535534,-17.519836035,0.2936111093,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"416","31",0.0004317636,1.0236120347,-149.5533534,-17.519754764,-0.7036111355,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"416","32",0.0006476455,8.4758341467,-149.5531534,-17.519673493,-8.1558332443,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"416","33",0.0008635273,26.282500522,-149.5529534,-17.519592222,-25.962499619,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"416","34",0.0010794091,39.264722127,-149.5527534,-17.519510951,-38.944721222,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"416","35",0.0012952909,48.397500298,-149.5525534,-17.51942968,-48.07749939,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"416","36",0.0015111727,50.514447483,-149.5523534,-17.519348409,-50.194446564,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"416","37",0.0017270546,53.920834819,-149.5521534,-17.519267138,-53.600833893,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"416","38",0.0019429364,53.953889875,-149.5519534,-17.519185867,-53.633888245,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"416","39",0.0021588182,54.477777554,-149.5517534,-17.519104596,-53.11000061,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"416","40",0.0023747,55.208055601,-149.5515534,-17.519023326,-53.840278625,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"416","41",0.0025905818,56.567777756,-149.5513534,-17.518942055,-52.480556488,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"416","42",0.0028064636,57.536943582,-149.5511534,-17.518860784,-51.511390686,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"416","43",0.0030223455,59.621389546,-149.5509534,-17.518779513,-49.426944733,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"416","44",0.0032382273,64.162222071,-149.5507534,-17.518698242,-44.886112213,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"416","45",0.0034541091,70.09083383,-149.5505534,-17.518616971,-38.957500458,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"416","46",0.0036699909,77.053890398,-149.5503534,-17.5185357,-31.994443893,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"416","47",0.0038858727,91.751945667,-149.5501534,-17.518454429,-17.296388626,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"416","48",0.0041017546,103.8069455,-149.5499534,-17.518373158,-5.2413887978,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"420","49",0,0,-149.48751635,-17.491721671,0.3736110926,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"420","50",0.0002158399,0.0911113792,-149.48731635,-17.49180283,0.4647222161,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"420","51",0.0004316797,0.3327781353,-149.48711635,-17.49188399,0.2230555564,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"420","52",0.0006475196,1.3677781393,-149.48691635,-17.491965149,-0.8119444251,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"420","53",0.0008633595,2.4522226241,-149.48671635,-17.492046308,-1.8963888884,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"420","54",0.0010791994,3.8891672442,-149.48651635,-17.492127468,-3.3333334923,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"420","55",0.0012950392,6.7038893136,-149.48631635,-17.492208627,-6.1480555534,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"420","56",0.0015108791,14.356944985,-149.48611635,-17.492289787,-13.801111221,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"420","57",0.001726719,29.559444376,-149.48591635,-17.492370946,-29.003610611,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"420","58",0.0019425589,38.275278042,-149.48571635,-17.492452106,-37.719444275,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"420","59",0.0021583987,44.644445374,-149.48551635,-17.492533265,-44.088611603,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"420","60",0.0023742386,49.558889348,-149.48531635,-17.492614424,-49.003055573,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"420","61",0.0025900785,52.7580547,-149.48511635,-17.492695584,-52.202220917,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"420","62",0.0028059184,53.736665716,-149.48491635,-17.492776743,-53.180831909,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"420","63",0.0030217582,57.97527885,-149.48471635,-17.492857903,-57.419445038,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"420","64",0.0032375981,58.989168186,-149.48451635,-17.492939062,-58.433334351,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"420","65",0.003453438,64.266111397,-149.48431635,-17.493020221,-63.710277557,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"420","66",0.0036692779,64.985834177,-149.48411635,-17.493101381,-64.430000305,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"420","67",0.0038851177,66.186945037,-149.48391635,-17.49318254,-63.228889465,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"420","68",0.0041009576,70.868059238,-149.48371635,-17.4932637,-58.547775269,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"420","69",0.0043167975,77.936945045,-149.48351635,-17.493344859,-51.478889465,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"420","70",0.0045326374,83.791112987,-149.48331635,-17.493426019,-45.624721527,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"420","71",0.0047484772,89.756391616,-149.48311635,-17.493507178,-39.659442902,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"420","72",0.0049643171,92.695833305,-149.48291635,-17.493588337,-36.720001221,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"420","73",0.005180157,96.46027957,-149.48271635,-17.493669497,-32.955554962,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"420","74",0.0053959969,104.35722362,-149.48251635,-17.493750656,-25.058610916,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"420","75",0.0056118367,113.48555671,-149.48231635,-17.493831816,-15.930277824,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
